from_naptan,to_naptan,from_station,to_station,line,direction,line_direction,platform_direction
940GZZLUHSK,940GZZLUGTR,High Street Kensington,Gloucester Road,Circle,Inbound,IR,EB
940GZZLUHAI,940GZZLUFPK,Highbury And Islington,Finsbury Park,Victoria,Outbound,NB,NB
940GZZLUHAI,940GZZLUKSX,Highbury And Islington,King's Cross St Pancras,Victoria,Inbound,SB,SB
940GZZLUHGT,940GZZLUEFY,Highgate,East Finchley,Northern,Outbound,NB,NB
940GZZLUHGT,940GZZLUACY,Highgate,Archway,Northern,Inbound,SB,SB
940GZZLUHGD,940GZZLUUXB,Hillingdon,Uxbridge,Piccadilly,Inbound,WB,WB
940GZZLUHGD,940GZZLUICK,Hillingdon,Ickenham,Piccadilly,Outbound,EB,EB
940GZZLUHGD,940GZZLUICK,Hillingdon,Ickenham,Metropolitan,Outbound,SB,EB
940GZZLUHGD,940GZZLUUXB,Hillingdon,Uxbridge,Metropolitan,Inbound,NB,WB
940GZZLUHBN,940GZZLUTCR,Holborn,Tottenham Court Road,Central,Inbound,WB,WB
940GZZLUHBN,940GZZLUCHL,Holborn,Chancery Lane,Central,Outbound,EB,EB
940GZZLUHBN,940GZZLUCGN,Holborn,Covent Garden,Piccadilly,Inbound,WB,WB
940GZZLUHBN,940GZZLURSQ,Holborn,Russell Square,Piccadilly,Outbound,EB,EB
940GZZLUHPK,940GZZLUSBC,Holland Park,Shepherd's Bush,Central,Inbound,WB,WB
940GZZLUHPK,940GZZLUNHG,Holland Park,Notting Hill Gate,Central,Outbound,EB,EB
940GZZLUHWY,940GZZLUCAR,Holloway Road,Caledonian Road,Piccadilly,Inbound,WB,WB
940GZZLUHWY,940GZZLUASL,Holloway Road,Arsenal,Piccadilly,Outbound,EB,EB
940GZZLUHCH,940GZZLUEPK,Hornchurch,Elm Park,District,Inbound,WB,WB
940GZZLUHCH,940GZZLUUPB,Hornchurch,Upminster Bridge,District,Outbound,EB,EB
940GZZLUHWC,940GZZLUHWT,Hounslow Central,Hounslow West,Piccadilly,Inbound,WB,WB
940GZZLUHWC,940GZZLUHWE,Hounslow Central,Hounslow East,Piccadilly,Outbound,EB,EB
940GZZLUHWE,940GZZLUHWC,Hounslow East,Hounslow Central,Piccadilly,Inbound,WB,WB
940GZZLUHWE,940GZZLUOSY,Hounslow East,Osterley,Piccadilly,Outbound,EB,EB
940GZZLUHWT,940GZZLUHNX,Hounslow West,Hatton Cross,Piccadilly,Inbound,WB,WB
940GZZLUHWT,940GZZLUHWC,Hounslow West,Hounslow Central,Piccadilly,Outbound,EB,EB
940GZZLUHPC,940GZZLUKNB,Hyde Park Corner,Knightsbridge,Piccadilly,Inbound,WB,WB
940GZZLUHPC,940GZZLUGPK,Hyde Park Corner,Green Park,Piccadilly,Outbound,EB,EB
940GZZLUICK,940GZZLUHGD,Ickenham,Hillingdon,Piccadilly,Inbound,WB,WB
940GZZLUICK,940GZZLURSP,Ickenham,Ruislip,Piccadilly,Outbound,EB,EB
940GZZLUICK,940GZZLURSP,Ickenham,Ruislip,Metropolitan,Outbound,SB,EB
940GZZLUICK,940GZZLUHGD,Ickenham,Hillingdon,Metropolitan,Inbound,NB,WB
940GZZLUKNG,940GZZLUEAC,Kennington,Elephant & Castle,Northern,Outbound,NB,NB
940GZZLUKNG,940GZZLUWLO,Kennington,Waterloo,Northern,Outbound,NB,NB
940GZZLUKNG,940GZZLUOVL,Kennington,Oval,Northern,Inbound,SB,SB
940GZZLUKSL,940GZZLUQPS,Kensal Green,Queens Park,Bakerloo,Inbound,SB,SB
940GZZLUKSL,940GZZLUWJN,Kensal Green,Willesden Junction,Bakerloo,Outbound,NB,NB
940GZZLUKSH,940GZZLUTFP,Kentish Town,Tufnell Park,Northern,Outbound,NB,NB
940GZZLUKSH,940GZZLUCTN,Kentish Town,Camden Town,Northern,Inbound,SB,SB
940GZZLUKEN,940GZZLUSKT,Kenton,South Kenton,Bakerloo,Inbound,SB,SB
940GZZLUKEN,940GZZLUHAW,Kenton,Harrow & Wealdstone,Bakerloo,Outbound,NB,NB
940GZZLUKWG,940GZZLURMD,Kew Gardens,Richmond,District,Inbound,WB,WB
940GZZLUKWG,940GZZLUGBY,Kew Gardens,Gunnersbury,District,Outbound,EB,EB
940GZZLUKBN,940GZZLUWHP,Kilburn,West Hampstead,Jubilee,Outbound,EB,SB
940GZZLUKBN,940GZZLUWIG,Kilburn,Willesden Green,Jubilee,Inbound,WB,NB
940GZZLUKPK,940GZZLUMVL,Kilburn Park,Maida Vale,Bakerloo,Inbound,SB,SB
940GZZLUKPK,940GZZLUQPS,Kilburn Park,Queens Park,Bakerloo,Outbound,NB,NB
940GZZLUKSX,940GZZLUHAI,King's Cross St Pancras,Highbury And Islington,Victoria,Outbound,NB,NB
940GZZLUKSX,940GZZLUEUS,King's Cross St Pancras,Euston,Victoria,Inbound,SB,SB
940GZZLUKSX,940GZZLUEUS,King's Cross St Pancras,Euston,Northern,Outbound,NB,NB
940GZZLUKSX,940GZZLUAGL,King's Cross St Pancras,Angel,Northern,Inbound,SB,SB
940GZZLUKSX,940GZZLURSQ,King's Cross St Pancras,Russell Square,Piccadilly,Inbound,WB,WB
940GZZLUKSX,940GZZLUCAR,King's Cross St Pancras,Caledonian Road,Piccadilly,Outbound,EB,EB
940GZZLUKSX,940GZZLUFCN,King's Cross St Pancras,Farringdon,Metropolitan,Outbound,SB,EB
940GZZLUKSX,940GZZLUESQ,King's Cross St Pancras,Euston Square,Metropolitan,Inbound,NB,WB
940GZZLUKSX,940GZZLUFCN,King's Cross St Pancras,Farringdon,Hammersmith & City,Outbound,EB,EB
940GZZLUKSX,940GZZLUESQ,King's Cross St Pancras,Euston Square,Hammersmith & City,Inbound,WB,WB
940GZZLUKSX,940GZZLUFCN,King's Cross St Pancras,Farringdon,Circle,Outbound,OR,EB
940GZZLUKSX,940GZZLUESQ,King's Cross St Pancras,Euston Square,Circle,Inbound,IR,WB
940GZZLUKBY,940GZZLUWYP,Kingsbury,Wembley Park,Jubilee,Outbound,EB,SB
940GZZLUKBY,940GZZLUQBY,Kingsbury,Queensbury,Jubilee,Inbound,WB,NB
940GZZLUKNB,940GZZLUSKS,Knightsbridge,South Kensington,Piccadilly,Inbound,WB,WB
940GZZLUKNB,940GZZLUHPC,Knightsbridge,Hyde Park Corner,Piccadilly,Outbound,EB,EB
940GZZLULAD,940GZZLUWSP,Ladbroke Grove,Westbourne Park,Hammersmith & City,Outbound,EB,EB
940GZZLULAD,940GZZLULRD,Ladbroke Grove,Latimer Road,Hammersmith & City,Inbound,WB,WB
940GZZLULAD,940GZZLUWSP,Ladbroke Grove,Westbourne Park,Circle,Outbound,Eb,EB
940GZZLULAD,940GZZLULRD,Ladbroke Grove,Latimer Road,Circle,Inbound,WB,WB
940GZZLULBN,940GZZLUEAC,Lambeth North,Elephant & Castle,Bakerloo,Outbound,SB,SB
940GZZLULBN,940GZZLUWLO,Lambeth North,Waterloo,Bakerloo,Outbound,NB,NB
940GZZLULGT,940GZZLUQWY,Lancaster Gate,Queensway,Central,Inbound,WB,WB
940GZZLULGT,940GZZLUMBA,Lancaster Gate,Marble Arch,Central,Outbound,EB,EB
940GZZLULRD,940GZZLULAD,Latimer Road,Ladbroke Grove,Hammersmith & City,Outbound,EB,EB
940GZZLULRD,940GZZLUWLA,Latimer Road,Wood Lane,Hammersmith & City,Inbound,WB,WB
940GZZLULRD,940GZZLULAD,Latimer Road,Ladbroke Grove,Circle,Outbound,EB,EB
940GZZLULRD,940GZZLUWLA,Latimer Road,Wood Lane,Circle,Inbound,WB,WB
940GZZLULSQ,940GZZLUTCR,Leicester Square,Tottenham Court Road,Northern,Outbound,NB,NB
940GZZLULSQ,940GZZLUCHX,Leicester Square,Charing Cross,Northern,Inbound,SB,SB
940GZZLULSQ,940GZZLUPCC,Leicester Square,Piccadilly Circus,Piccadilly,Inbound,WB,WB
